UNIQUE_ID,yes_hp_en,yes_ret_yhp_en,yes_pg_yhp_en
245091493,0.180353091,0.568952076,0.286897222
245032659,0.231824966,0.69844861,0.240900891
245060445,0.496841382,0.506070986,0.673881814
244944546,0.308320759,0.54106896,0.655689041
245136672,0.325583302,0.684908126,0.33376495
245156503,0.608626332,0.472996155,0.373489963
245119252,0.425435398,0.396779816,0.354987198
245150726,0.305406226,0.700273138,0.19580035
245191042,0.508490018,0.73890514,0.189039514
239449486,0.548185938,0.528562998,0.257435636
245202351,0.239123451,0.682247017,0.327486776
227118232,0.574795153,0.674417643,0.426366198
245175501,0.14689082,0.510942265,0.414353294
245170420,0.400906173,0.540572536,0.423371186
245211791,0.713587583,0.652951649,0.348386341
245170864,0.565534471,0.733149803,0.369604929
245116342,0.362872674,0.668943872,0.177679031
245014554,0.614378061,0.584459186,0.48204776
245059510,0.20995276,0.45378409,0.941703062
245139901,0.300437045,0.599140844,0.382120388
245125142,0.573361199,0.682094968,0.255637647
236930478,0.5011475,0.686441972,0.48007613
243174155,0.382062021,0.460049709,0.46156877
245130351,0.246905853,0.755028877,0.167587823
244989241,0.596272878,0.538894045,0.311951098
245207936,0.40323004,0.592753952,0.202556074
245160498,0.391203618,0.507912904,0.264514698
245206899,0.291189291,0.322063529,0.128727875
244961641,0.16466704,0.406252882,0.263212032
245043763,0.185940213,0.559846732,0.354667032
245180389,0.635758709,0.627987145,0.520943272
245097319,0.34944981,0.578318158,0.21274169
245225938,0.233589573,0.483148508,0.366144535
244935652,0.441406616,0.346701098,0.655913877
240100433,0.338212528,0.512302543,0.744312315
244941227,0.489122476,0.729348621,0.594073805
245112404,0.496877008,0.445732086,0.367414157
245067385,0.319817199,0.718789631,0.266293036
245080987,0.477640227,0.583120622,0.429563563
245123625,0.380137012,0.432910525,0.213848703
245169007,0.478414032,0.77031646,0.140309987
232292799,0.309196433,0.537873218,0.341547056
244787153,0.46631888,0.464172237,0.483890133
245097531,0.265980918,0.545579871,0.216795809
245115032,0.532318243,0.454935676,0.170354167
244936490,0.546088266,0.583785471,0.600621297
121921823,0.268032701,0.612415335,0.511252428
245208281,0.264890382,0.578227702,0.259280731
245081213,0.508296098,0.599304633,0.363127225
245161525,0.429273492,0.542475719,0.42824389
245036286,0.387701225,0.662148388,0.514443416
245089592,0.386394307,0.521652236,0.208261902
245085396,0.125065223,0.659101646,0.205557647
245057470,0.522621876,0.633816629,0.366831503
245075739,0.311952082,0.632941685,0.252445538
245130761,0.650106521,0.583060927,0.213926418
245025357,0.204446807,0.470898932,0.57932882
245146797,0.227234975,0.626130259,0.491679712
243403612,0.763683618,0.61913129,0.412772301
244945625,0.437218321,0.700650636,0.349123713
245119770,0.221882114,0.798640787,0.223918765
245097944,0.282948534,0.575747668,0.677526749
245193046,0.617699027,0.623087795,0.141695007
245154538,0.461583197,0.524496167,0.679908084
245230874,0.268642302,0.500609463,0.405431653
245186685,0.28842608,0.727649988,0.166404512
245075474,0.461107968,0.669242451,0.62298435
245080441,0.176467395,0.456874448,0.334259961
244929669,0.329878356,0.484211116,0.45659673
245225921,0.163818066,0.307678661,0.370324329
245169579,0.556798019,0.56694456,0.271420784
245129919,0.353749836,0.521832116,0.332568263
245052851,0.288623919,0.659512601,0.405673204
245210409,0.367697061,0.499181756,0.451836595
245196759,0.250214149,0.543495928,0.29992655
244973598,0.251762627,0.33707205,0.513433922
245181912,0.092494371,0.574501628,0.317775382
245069645,0.478308547,0.660167512,0.130050673
245108622,0.363180264,0.558388932,0.260189884
245222707,0.406868914,0.573453467,0.427702039
245180048,0.319345583,0.412897903,0.748407868
245066167,0.634903826,0.621146935,0.26775718
245122478,0.444634661,0.746828025,0.448632742
244994323,0.388346336,0.713455903,0.09794269
240934473,0.282151554,0.605020365,0.607623101
245118102,0.603398811,0.466276318,0.356877681
245050284,0.274439796,0.751948929,0.192030395
245161890,0.241997378,0.515449662,0.394699311
125568438,0.408872293,0.746093077,0.297471616
230463682,0.621645205,0.625788435,0.234032646
245162001,0.395005216,0.312018782,0.179229212
245145734,0.288046281,0.540912329,0.190454884
245028447,0.49040874,0.423855228,0.412662586
245101044,0.724105339,0.463940943,0.348760116
241711031,0.313031656,0.572503125,0.368444643
245196761,0.136079049,0.613537839,0.346094735
245173350,0.289429875,0.510346027,0.264018354
245123891,0.475274419,0.50666266,0.481709757
245196278,0.510006274,0.461087533,0.649479917
245141951,0.295087774,0.620278545,0.386406557
245081021,0.680723305,0.454926232,0.456585239
244984268,0.240257244,0.680448919,0.356859232
245040871,0.693026859,0.7128298,0.286183238
245130536,0.353081293,0.620159885,0.195356894
243133082,0.238386762,0.608632234,0.36050659
245147082,0.536708747,0.60057355,0.417895375
244997166,0.446213087,0.586629435,0.238949956
245090649,0.378903369,0.559357057,0.58827543
245014862,0.364113545,0.663671109,0.622778266
245248179,0.496758872,0.692939585,0.232135981
245197674,0.041813837,0.508608914,0.563741232
245185538,0.260762986,0.58462095,0.494782178
244965350,0.460800835,0.623448724,0.737581351
245155529,0.347843211,0.609134527,0.308358004
245106617,0.212533275,0.343750854,0.714655395
244998927,0.3573966,0.639187155,0.19856282
245130078,0.277692561,0.466022852,0.354853914
245205827,0.415366769,0.504330853,0.296556756
241120455,0.39986533,0.692310599,0.65817947
245074790,0.264575593,0.566698364,0.741895107
245207382,0.199619964,0.608801513,0.365336696
245155492,0.256465736,0.520275427,0.142669934
245113868,0.401306159,0.495048941,0.913965922
242094168,0.349834583,0.487655809,0.848059858
245046480,0.501608053,0.519734724,0.21798792
245071248,0.443688476,0.687797045,0.38175217
245098326,0.324615627,0.570638251,0.264297948
244945847,0.568130796,0.625167254,0.46585428
242628728,0.560005489,0.494072941,0.309623319
244978696,0.378308178,0.461522943,0.286247097
